2026-03-12 08:00:20,027 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 08:00:29,034 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 08:00:29,034 | INFO | __main__ | sentinel.py:86 | Descargando datos para EUR/USD de la cuenta JAIME (0) con temporalidad 15min
2026-03-12 08:00:30,450 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 08:00:39,457 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 08:00:39,457 | INFO | __main__ | sentinel.py:86 | Descargando datos para GBP/CAD de la cuenta JAIME (0) con temporalidad 15min
2026-03-12 08:00:40,628 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 08:00:49,635 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 08:00:49,635 | INFO | __main__ | sentinel.py:86 | Descargando datos para GBP/JPY de la cuenta JAIME (0) con temporalidad 15min
2026-03-12 08:00:50,788 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 08:00:59,797 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 08:00:59,798 | INFO | __main__ | sentinel.py:86 | Descargando datos para GBP/USD de la cuenta JAIME (0) con temporalidad 15min
2026-03-12 08:01:00,938 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 08:01:09,946 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 08:01:09,946 | INFO | __main__ | sentinel.py:86 | Descargando datos para NZD/USD de la cuenta JAIME (0) con temporalidad 15min
2026-03-12 08:01:11,186 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 08:01:20,195 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 08:01:20,195 | INFO | __main__ | sentinel.py:86 | Descargando datos para USD/CAD de la cuenta JAIME (0) con temporalidad 15min
2026-03-12 08:01:21,335 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 08:01:30,343 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 08:01:30,344 | INFO | __main__ | sentinel.py:86 | Descargando datos para USD/CHF de la cuenta JAIME (0) con temporalidad 15min
2026-03-12 08:01:31,812 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 08:01:40,819 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 08:01:40,819 | INFO | __main__ | sentinel.py:86 | Descargando datos para USD/JPY de la cuenta JAIME (0) con temporalidad 15min
2026-03-12 08:01:42,393 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 08:01:51,400 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 08:01:51,401 | INFO | __main__ | sentinel.py:86 | Descargando datos para USD/MXN de la cuenta JAIME (0) con temporalidad 15min
2026-03-12 08:01:52,569 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 08:02:01,577 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 08:02:01,577 | INFO | __main__ | sentinel.py:86 | Descargando datos para XAU/USD de la cuenta JAIME (0) con temporalidad 15min
2026-03-12 08:02:02,750 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 08:02:11,753 | INFO | __main__ | sentinel.py:645 | ✅ Ciclo completado. Esperando próxima vela...
2026-03-12 08:02:11,753 | INFO | scheduler.autoScheduler | autoScheduler.py:78 | ⏳ Sincronizando: Próximo escaneo en 12m 51s
2026-03-12 08:15:02,736 | INFO | __main__ | sentinel.py:638 | 


--------------------- Iniciando Escaneo con Intervalo: 15min  a las 08:15:02 -------------------


2026-03-12 08:15:02,744 | INFO | database.dbManager | dbManager.py:145 | Se cargaron 11 símbolos activos.
2026-03-12 08:15:02,750 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 08:15:02,750 | INFO | __main__ | sentinel.py:86 | Descargando datos para AUD/USD de la cuenta RAUL (1) con temporalidad 15min
2026-03-12 08:15:03,923 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 08:15:12,931 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 08:15:12,931 | INFO | __main__ | sentinel.py:86 | Descargando datos para EUR/USD de la cuenta RAUL (1) con temporalidad 15min
2026-03-12 08:15:14,135 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 08:15:23,143 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 08:15:23,143 | INFO | __main__ | sentinel.py:86 | Descargando datos para GBP/CAD de la cuenta RAUL (1) con temporalidad 15min
2026-03-12 08:15:24,616 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 08:15:33,624 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
2026-03-12 08:15:33,624 | INFO | __main__ | sentinel.py:86 | Descargando datos para GBP/JPY de la cuenta RAUL (1) con temporalidad 15min
2026-03-12 08:15:34,955 | WARNING | __main__ | sentinel.py:439 | ⚠️  no es confiable la operacion por VELA LATERAL ⚪*
2026-03-12 08:15:43,963 | INFO | database.dbManager | dbManager.py:127 | Se cargaron 4 cuentas activas.
